Nombre del producto,Título de variante de producto,SKU de variante de producto,Día,Artículos netos vendidos,Ventas brutas,Descuentos,Devoluciones,Ventas netas,Impuestos,Ventas totales
Set LeBorêt No. 1,3 x 100ml,1,09/12/24,9,14391,-1599,0,12792,0,12792
Set Descubriendo LeBorêt,3 x 5ml,2,10/12/24,1,199,-29.85,0,169.15,0,169.15
Set LeBorêt No. 1,3 x 100ml,1,10/12/24,11,17589,-1359.15,0,16229.85,0,16229.85
Set Descubriendo LeBorêt,3 x 5ml,2,11/12/24,2,398,0,0,398,0,398
Manhattan Eau de Parfum,100ml,2002,11/12/24,1,699,-104.85,0,594.15,0,594.15
Set LeBorêt No. 1,3 x 100ml,1,11/12/24,3,4797,-479.7,0,4317.3,0,4317.3
Set LeBorêt No. 1,3 x 100ml,1,12/12/24,14,22386,-2718.3,0,19667.7,0,19667.7
Manhattan Eau de Parfum,100ml,2002,13/12/24,2,1398,-174.75,0,1223.25,0,1223.25
Set Descubriendo LeBorêt,3 x 5ml,2,13/12/24,1,199,-29.85,0,169.15,0,169.15
Set LeBorêt No. 1,3 x 100ml,1,13/12/24,9,14391,-1758.9,0,12632.1,0,12632.1
